epoch,AUC
0,0.14073428511619568
50,0.3955720365047455
100,0.3526080250740051
150,0.36761701107025146
200,0.15220069885253906
250,0.2125592827796936
300,0.3790121078491211
350,0.11754991859197617
400,0.03499457985162735
450,0.4237738847732544
500,0.28578007221221924
550,0.313212126493454
600,0.2891428470611572
650,0.16523294150829315
700,0.3593384027481079
750,0.21852955222129822
800,0.5880154371261597
850,0.3255634307861328
900,0.44230496883392334
950,0.5386985540390015
1000,0.24115684628486633
